Yr,Mn,Mouna Loa CO2 fit [ppm],Adobe net income [Millions of US$],c1.5,c3.0,cbase,c4.0,a1,a2,a3
1971,08,326.24,,,,,,,,
1971,09,326.36,,,,,,,,
1971,10,326.49,,,,,,,,
1971,11,326.63,,,,,,,,
1971,12,326.76,,,,,,,,
1972,01,326.91,,,,,,,,
1972,02,327.06,,,,,,,,
1972,03,327.20,,,,,,,,
1972,04,327.36,,,,,,,,
1972,05,327.51,,,,,,,,
1972,06,327.67,,,,,,,,
1972,07,327.82,,,,,,,,
1972,08,327.98,,,,,,,,
1972,09,328.14,,,,,,,,
1972,10,328.28,,,,,,,,
1972,11,328.44,,,,,,,,
1972,12,328.58,,,,,,,,
1973,01,328.73,,,,,,,,
1973,02,328.88,,,,,,,,
1973,03,329.01,,,,,,,,
1973,04,329.14,,,,,,,,
1973,05,329.27,,,,,,,,
1973,06,329.38,,,,,,,,
1973,07,329.48,,,,,,,,
1973,08,329.56,,,,,,,,
1973,09,329.63,,,,,,,,
1973,10,329.68,,,,,,,,
1973,11,329.73,,,,,,,,
1973,12,329.76,,,,,,,,
1974,01,329.79,,,,,,,,
1974,02,329.82,,,,,,,,
1974,03,329.86,,,,,,,,
1974,04,329.91,,,,,,,,
1974,05,329.97,,,,,,,,
1974,06,330.04,,,,,,,,
1974,07,330.12,,,,,,,,
1974,08,330.21,,,,,,,,
1974,09,330.30,,,,,,,,
1974,10,330.39,,,,,,,,
1974,11,330.48,,,,,,,,
1974,12,330.57,,,,,,,,
1975,01,330.65,,,,,,,,
1975,02,330.74,,,,,,,,
1975,03,330.82,,,,,,,,
1975,04,330.91,,,,,,,,
1975,05,331.00,,,,,,,,
1975,06,331.10,,,,,,,,
1975,07,331.18,,,,,,,,
1975,08,331.27,,,,,,,,
1975,09,331.36,,,,,,,,
1975,10,331.43,,,,,,,,
1975,11,331.51,,,,,,,,
1975,12,331.59,,,,,,,,
1976,01,331.67,,,,,,,,
1976,02,331.74,,,,,,,,
1976,03,331.81,,,,,,,,
1976,04,331.89,,,,,,,,
1976,05,331.96,,,,,,,,
1976,06,332.04,,,,,,,,
1976,07,332.12,,,,,,,,
1976,08,332.21,,,,,,,,
1976,09,332.31,,,,,,,,
1976,10,332.42,,,,,,,,
1976,11,332.54,,,,,,,,
1976,12,332.67,,,,,,,,
1977,01,332.82,,,,,,,,
1977,02,332.98,,,,,,,,
1977,03,333.13,,,,,,,,
1977,04,333.31,,,,,,,,
1977,05,333.48,,,,,,,,
1977,06,333.67,,,,,,,,
1977,07,333.84,,,,,,,,
1977,08,334.03,,,,,,,,
1977,09,334.21,,,,,,,,
1977,10,334.39,,,,,,,,
1977,11,334.57,,,,,,,,
1977,12,334.74,,,,,,,,
1978,01,334.91,,,,,,,,
1978,02,335.07,,,,,,,,
1978,03,335.21,,,,,,,,
1978,04,335.35,,,,,,,,
1978,05,335.48,,,,,,,,
1978,06,335.61,,,,,,,,
1978,07,335.72,,,,,,,,
1978,08,335.83,,,,,,,,
1978,09,335.93,,,,,,,,
1978,10,336.03,,,,,,,,
1978,11,336.13,,,,,,,,
1978,12,336.23,,,,,,,,
1979,01,336.34,,,,,,,,
1979,02,336.45,,,,,,,,
1979,03,336.55,,,,,,,,
1979,04,336.68,,,,,,,,
1979,05,336.81,,,,,,,,
1979,06,336.95,,,,,,,,
1979,07,337.09,,,,,,,,
1979,08,337.24,,,,,,,,
1979,09,337.39,,,,,,,,
1979,10,337.54,,,,,,,,
1979,11,337.70,,,,,,,,
1979,12,337.85,,,,,,,,
1980,01,338.02,,,,,,,,
1980,02,338.17,,,,,,,,
1980,03,338.32,,,,,,,,
1980,04,338.47,,,,,,,,
1980,05,338.61,,,,,,,,
1980,06,338.76,,,,,,,,
1980,07,338.90,,,,,,,,
1980,08,339.04,,,,,,,,
1980,09,339.18,,,,,,,,
1980,10,339.30,,,,,,,,
1980,11,339.43,,,,,,,,
1980,12,339.55,,,,,,,,
1981,01,339.67,,,,,,,,
1981,02,339.78,,,,,,,,
1981,03,339.88,,,,,,,,
1981,04,339.98,,,,,,,,
1981,05,340.07,,,,,,,,
1981,06,340.16,,,,,,,,
1981,07,340.24,,,,,,,,
1981,08,340.33,,,,,,,,
1981,09,340.41,,,,,,,,
1981,10,340.49,,,,,,,,
1981,11,340.57,,,,,,,,
1981,12,340.65,,,,,,,,
1982,01,340.73,,,,,,,,
1982,02,340.79,,,,,,,,
1982,03,340.84,,,,,,,,
1982,04,340.89,,,,,,,,
1982,05,340.92,,,,,,,,
1982,06,340.96,,,,,,,,
1982,07,341.00,,,,,,,,
1982,08,341.06,,,,,,,,
1982,09,341.13,,,,,,,,
1982,10,341.22,,,,,,,,
1982,11,341.33,,,,,,,,
1982,12,341.46,,,,,,,,
1983,01,341.62,,,,,,,,
1983,02,341.79,,,,,,,,
1983,03,341.97,,,,,,,,
1983,04,342.17,,,,,,,,
1983,05,342.36,,,,,,,,
1983,06,342.57,,,,,,,,
1983,07,342.75,,,,,,,,
1983,08,342.94,,,,,,,,
1983,09,343.12,,,,,,,,
1983,10,343.29,,,,,,,,
1983,11,343.46,,,,,,,,
1983,12,343.61,,,,,,,,
1984,01,343.77,,,,,,,,
1984,02,343.91,,,,,,,,
1984,03,344.03,,,,,,,,
1984,04,344.15,,,,,,,,
1984,05,344.26,,,,,,,,
1984,06,344.36,,,,,,,,
1984,07,344.46,,,,,,,,
1984,08,344.55,,,,,,,,
1984,09,344.64,,,,,,,,
1984,10,344.73,,,,,,,,
1984,11,344.83,,,,,,,,
1984,12,344.93,,,,,,,,
1985,01,345.04,,,,,,,,
1985,02,345.15,,,,,,,,
1985,03,345.26,,,,,,,,
1985,04,345.37,,,,,,,,
1985,05,345.48,,,,,,,,
1985,06,345.59,,,,,,,,
